Original,English
A Coruña,A Coruña
Aachen,Aachen
Aalborg,Aalborg
Aarhus,Aarhus
Aberdeen City,Aberdeen
Ajaccio,Ajaccio
Alba Iulia,Alba Iulia
Albacete,Albacete
Albi,Albi
Alcalá de Henares,Alcalá de Henares
Alcoy,Alcoy
Alessandria,Alessandria
Algeciras,Algeciras
Alicante,Alicante
Almería,Almería
Altamura,Altamura
Amiens,Amiens
Amsterdam,Amsterdam
Ancona,Ancona
Angers,Angers
Angoulême,Angoulême
Annecy,Annecy
Aosta,Aosta
Apeldoorn,Apeldoorn
Arad,Arad
Arezzo,Arezzo
Arrecife,Arrecife
Athens,Athens
Aveiro,Aveiro
Avellino,Avellino
Avignon,Avignon
Ávila,Ávila
Bacau,Bacău
Badajoz,Badajoz
Baia Mare,Baia Mare
Bamberg,Bamberg
Banja Luka,Banja Luka
Banská Bystrica,Banská Bystrica
Barcelona,Barcelona
Bari,Bari
Bârlad,Bârlad
Basel,Basel
Bath and North East Somerset,Bath and North East Somerset
Bayonne,Bayonne
Beauvais,Beauvais
Beja,Beja
Békéscsaba,Békéscsaba
Belfast,Belfast
Belfort,Belfort
Belluno,Belluno
Benidorm,Benidorm
Beograd,Belgrade
Bergamo,Bergamo
Bergen,Bergen
Berlin,Berlin
Besançon,Besançon
Béziers,Béziers
Bialystok,Białystok
Bielefeld,Bielefeld
Bielsko-Biala,Bielsko-Biała
Bilbao,Bilbao
Birmingham,Birmingham
Bistrita,Bistrița
Bitola,Bitola
Blackburn with Darwen,Blackburn with Darwen
Blagoevgrad,Blagoevgrad
Bodø,Bodø
Bologna,Bologna
Bolzano,Bolzano
Borås,Borås
Bordeaux,Bordeaux
Borlänge,Borlänge
Botosani,Botoșani
Bourges,Bourges
Braila,Brăila
Brasov,Brașov
Bratislava,Bratislava
Braunschweig,Brunswick
Bremen,Bremen
Brescia,Brescia
Brest,Brest
Bristol,Bristol
Brive-la-Gaillarde,Brive-la-Gaillarde
Brno,Brno
Bruxelles,Brussels
Bucuresti,Bucharest
Budapest,Budapest
Burgas,Burgas
Burgos,Burgos
Buzau,Buzău
Bydgoszcz,Bydgoszcz
Cáceres,Cáceres
Cagliari,Cagliari
Calarasi,Călărași
Cardiff,Cardiff
Carlisle,Carlisle
Cartagena,Cartagena
Castellón de la Plana,Castelló de la Plana
Catania,Catania
Catanzaro,Catanzaro
Ceské Budejovice,České Budějovice
Chalon-sur-Saône,Chalon-sur-Saône
Châlons-en-Champagne,Châlons-en-Champagne
Charleroi,Charleroi
Charleville-Mézières,Charleville-Mézières
Chartres,Chartres
Châteauroux,Châteauroux
Cherbourg,Cherbourg-Octeville
Chomutov-Jirkov,Chomutov
City of Edinburgh,Edinburgh
Ciudad Real,Ciudad Real
Clermont-Ferrand,Clermont-Ferrand
Cluj-Napoca,Cluj-Napoca
Coimbra,Coimbra
Constanta,Constanța
Córdoba,Córdoba
Cork,Cork
Cottbus,Cottbus
Coventry,Coventry
Craiova,Craiova
Croydon,Croydon
Cuenca,Cuenca
Czestochowa,Częstochowa
Daugavpils,Daugavpils
Derry & Strabane Local Government District,Derry City and Strabane
Dijon,Dijon
Dortmund,Dortmund
Dresden,Dresden
Drobeta-Turnu Severin,Drobeta-Turnu Severin
Dublin,Dublin
Dunkerque,Dunkirk
Eger,Eger
Eivissa,Ibiza Town
Elbasan,Elbasan
Elblag,Elbląg
Elk,Ełk
Enschede,Enschede
Erfurt,Erfurt
Esbjerg,Esbjerg
Essen,Essen
Évora,Évora
Exeter,Exeter
Falkirk,Falkirk
Faro,Faro
Firenze,Florence
Flensburg,Flensburg
Focsani,Focșani
Foggia,Foggia
Frankfurt (Oder),Frankfurt
Frankfurt am Main,Frankfurt
Fredrikstad,Fredrikstad
Fréjus,Fréjus
Friedrichshafen,Friedrichshafen
Fulda,Fulda
Funchal,Funchal
Galati,Galați
Galway,Galway
Gandia,Gandia
Gävle,Gävle
Gdansk,Gdańsk
Gdynia,Gdynia
Gela,Gela
Genève,Geneva
Genova,Genoa
Gent,Gent
Gera,Gera
Gijón,Gijón
Girona,Girona
Giugliano in Campania,Giugliano in Campania
Glasgow City,Glasgow
Gorzów Wielkopolski,Gorzów Wielkopolski
Göteborg,Gothenburg
Göttingen,Göttingen
Granada,Granada
Graz,Graz
Greenwich,Greenwich
Greifswald,Greifswald
Grenoble,Grenoble
Groningen,Groningen
Grosseto,Grosseto
Guadalajara,Guadalajara
Győr,Győr
Haarlem,Haarlem
Halle (Saale),Halle (Saale)
Halmstad,Halmstad
Hamburg,Hamburg
Hannover,Hanover
Haskovo,Haskovo
Havering,Havering
Heidelberg,Heidelberg
Helsingborg,Helsingborg
Helsinki,Helsinki
Hillingdon,Hillingdon
Hradec Králové,Hradec Králové
Huelva,Huelva
Iasi,Iași
Ingolstadt,Ingolstadt
Innsbruck,Innsbruck
Inverclyde (Greenock),Greenock
Ioannina,Ioannina
Jelenia Góra,Jelenia Góra
Jerez de la Frontera,Jerez de la Frontera
Jihlava,Jihlava
Joensuu,Joensuu
Jönköping,Jönköping
Jyväskylä,Jyväskylä
Kaiserslautern,Kaiserslautern
Kalamata,Kalamata
Kalisz,Kalisz
Kalmar,Kalmar
Kaposvár,Kaposvár
Karlovy Vary,Karlovy Vary
Karlskrona,Karlskrona
Karlsruhe,Karlsruhe
Karlstad,Karlstad
Kassel,Kassel
Katowice,Katowice
Kaunas,Kaunas
Kavala,Kavala
Kecskemét,Kecskemét
Kempten (Allgäu),Kempten
Kiel,Kiel
Kielce,Kielce
Kingston-upon-Hull,Kingston upon Hull
Kiruna,Kiruna
Klagenfurt,Klagenfurt
Klaipeda,Klaipėda
København,Copenhagen
Koblenz,Koblenz
Kolding,Kolding
Köln,Cologne
Konin,Konin
Konstanz,Konstanz
Kosice,Kosice
Koszalin,Koszalin
Kouvola,Kouvola
Kragujevac,Kragujevac
Kraków,Kraków
Kristiansand,Kristiansand
Kristianstad,Kristianstad
Kuopio,Kuopio
L'Aquila,L'Aquila
La Rochelle,La Rochelle
La Spezia,La Spezia
Lahti,Lahti
Lappeenranta,Lappeenranta
Larisa,Larissa
Las Palmas,Las Palmas de Gran Canaria
Latina,Latina
Lausanne,Lausanne
Le Havre,Le Havre
Le Mans,Le Mans
Lecce,Lecce
Leeds,Leeds
Leeuwarden,Leeuwarden
Lefkosia,Nicosia
Leipzig,Leipzig
Lemesos,Limassol
Lens,Lens
León,León
Liberec,Liberec
Liège,Liège
Liepaja,Liepāja
Lille,Lille
Limerick,Limerick
Limoges,Limoges
Linares,Linares
Lincoln,Lincoln
Linköping,Linköping
Linz,Linz
Lisboa,Lisbon
Liverpool,Liverpool
Livorno,Livorno
Ljubljana,Ljubljana
Lleida,Lleida
Lódz,Łódź
Logroño,Logroño
Lomza,Łomża
London (greater city),London
Lorca,Lorca
Lorient,Lorient
Lubin,Lubin
Lublin,Lublin
Lugo,Lugo
Luleå,Luleå
Lund,Lund
Lüneburg,Lüneburg
Luxembourg,Luxembourg
Lyon,Lyon
Madrid,Madrid
Magdeburg,Magdeburg
Maidstone,Maidstone
Málaga,Málaga
Manchester,Manchester
Mannheim,Mannheim
Manresa,Manresa
Mansfield,Mansfield
Marbella,Marbella
Marburg,Marburg
Maribor,Maribor
Mariehamn,Mariehamn
Marseille,Marseille
Massa,Massa
Matosinhos,Matosinhos
Medway,Medway
Melilla,Melilla
Melun,Melun
Mérida,Mérida
Messina,Messina
Milano,Milan
Miskolc,Miskolc
Modena,Modena
Montbéliard,Montbéliard
Montpellier,Montpellier
Mulhouse,Mulhouse
München,Munich
Murcia,Murcia
Næstved,Næstved
Nancy,Nancy
Nantes,Nantes
Napoli,Naples
Narva,Narva
Neubrandenburg,Neubrandenburg
Neumünster,Neumünster
Newcastle upon Tyne,Newcastle upon Tyne
Nice,Nice
Nijmegen,Nijmegen
Nîmes,Nîmes
Niort,Niort
Nis,Niš
Norrköping,Norrköping
North East Lincolnshire,North East Lincolnshire
North Lanarkshire (Airdrie,Airdrie
Northampton,Northampton
Norwich,Norwich
Novara,Novara
Novi Sad,Novi Sad
Nowy Sacz,Nowy Sącz
Nürnberg,Nuremberg
Nyíregyháza,Nyíregyháza
Odense,Odense
Oldenburg (Oldenburg),Oldenburg
Olomouc,Olomouc
Olsztyn,Olsztyn
Opole,Opole
Oradea,Oradea
Örebro,Örebro
Orléans,Orléans
Osijek,Osijek
Oslo,Oslo
Osnabrück,Osnabrück
Östersund,Östersund
Ostrava,Ostrava
Ostrowiec Swietokrzyski,Ostrowiec Świętokrzyski
Oulu,Oulu
Ourense,Ourense
Paderborn,Paderborn
Palermo,Palermo
Palma de Mallorca,Palma
Pamplona,Pamplona
Panevezys,Panevėžys
Paris,Paris
Parma,Parma
Passau,Passau
Pau,Pau
Pavia,Pavia
Pazardzhik,Pazardzhik
Pécs,Pécs
Perpignan,Perpignan
Perugia,Perugia
Pescara,Pescara
Peterborough,Peterborough
Piacenza,Piacenza
Piatra Neamt,Piatra Neamț
Pila,Pila
Piombino,Piombino
Pitesti,Pitești
Plauen,Plauen
Pleven,Pleven
Plock,Płock
Ploiesti,Ploiești
Plovdiv,Plovdiv
Plymouth,Plymouth
Plzen,Plzeň
Podgorica,Podgorica
Poitiers,Poitiers
Ponferrada,Ponferrada
Ponta Delgada,Ponta Delgada
Pontevedra,Pontevedra
Pordenone,Pordenone
Pori,Pori
Portsmouth,Portsmouth
Potenza,Potenza
Potsdam,Potsdam
